staff_id,role,department_id,hospital_id,specialization,shift_type,employment_type,years_experience,on_roster
STF00335,Support Staff,DEP0049,HOSP03,-,Morning,Intern,3.4,True
STF00336,Staff Nurse,DEP0071,HOSP04,-,Morning,Permanent,3.8,True
STF00337,Support Staff,DEP0073,HOSP04,-,Morning,Permanent,4.8,True
STF00338,Support Staff,DEP0006,HOSP01,-,Evening,Intern,9.5,True
STF00339,Staff Nurse,DEP0075,HOSP04,-,Night,Intern,10.0,True
STF00340,Support Staff,DEP0073,HOSP04,-,Evening,Permanent,9.3,True
STF00341,Senior Nurse,DEP0108,HOSP05,-,Morning,Contract,11.3,True
STF00342,Staff Nurse,DEP0056,HOSP03,-,Morning,Intern,3.6,True
STF00343,Radiology Technician,DEP0097,HOSP05,-,Rotating,Permanent,6.8,True
STF00344,Staff Nurse,DEP0084,HOSP04,-,Night,Contract,4.0,True
STF00345,Staff Nurse,DEP0048,HOSP03,-,Evening,Permanent,10.2,True
STF00346,Medical Officer,DEP0058,HOSP03,General,Evening,Permanent,8.9,True
STF00347,Lab Technician,DEP0067,HOSP04,-,Rotating,Permanent,10.2,True
STF00348,Medical Officer,DEP0012,HOSP01,Oncologist,Morning,Intern,7.5,True
STF00349,Medical Officer,DEP0057,HOSP03,General,Rotating,Contract,4.3,True
STF00350,Medical Officer,DEP0084,HOSP04,General,Rotating,Intern,6.0,True
STF00351,Staff Nurse,DEP0028,HOSP02,-,Evening,Permanent,8.6,True
STF00352,Staff Nurse,DEP0008,HOSP01,-,Morning,Permanent,14.1,True
STF00353,Lab Technician,DEP0063,HOSP03,-,Rotating,Intern,14.6,True
STF00354,Medical Officer,DEP0092,HOSP05,General,Night,Permanent,5.4,True
STF00355,Staff Nurse,DEP0027,HOSP02,-,Rotating,Contract,8.8,False
STF00356,Resident Doctor,DEP0057,HOSP03,General,Evening,Permanent,2.9,True
STF00357,Support Staff,DEP0049,HOSP03,-,Morning,Contract,9.5,True
STF00358,Support Staff,DEP0001,HOSP01,-,Rotating,Permanent,11.9,True
STF00359,Lab Technician,DEP0033,HOSP02,-,Morning,Permanent,4.2,True
STF00360,Staff Nurse,DEP0067,HOSP04,-,Rotating,Permanent,30.6,False
STF00361,Support Staff,DEP0094,HOSP05,-,Morning,Visiting,4.9,True
STF00362,Staff Nurse,DEP0077,HOSP04,-,Morning,Permanent,14.2,True
STF00363,Senior Nurse,DEP0002,HOSP01,-,Evening,Visiting,16.8,True
STF00364,Medical Officer,DEP0006,HOSP01,Orthopedic Surgeon,Evening,Permanent,6.0,True
STF00365,Staff Nurse,DEP0083,HOSP04,-,Morning,Visiting,16.9,True
STF00366,Resident Doctor,DEP0001,HOSP01,General,Evening,Permanent,7.2,True
STF00367,Resident Doctor,DEP0102,HOSP05,General,Evening,Contract,9.8,True
STF00368,Staff Nurse,DEP0074,HOSP04,-,Morning,Permanent,6.4,True
STF00369,Senior Nurse,DEP0005,HOSP01,-,Morning,Contract,21.8,True
STF00370,Consultant,DEP0071,HOSP04,Surgeon,Morning,Visiting,20.5,False
STF00371,Staff Nurse,DEP0076,HOSP04,-,Rotating,Contract,15.4,True
STF00372,Consultant,DEP0106,HOSP05,General,Night,Contract,7.5,True
STF00373,Medical Officer,DEP0070,HOSP04,General,Rotating,Permanent,8.7,True
STF00374,Support Staff,DEP0032,HOSP02,-,Rotating,Permanent,6.6,True
STF00375,Medical Officer,DEP0001,HOSP01,General,Morning,Permanent,6.5,True
STF00376,Staff Nurse,DEP0029,HOSP02,-,Night,Contract,10.2,True
STF00377,Staff Nurse,DEP0025,HOSP02,-,Night,Intern,16.9,True
STF00378,Staff Nurse,DEP0004,HOSP01,-,Rotating,Intern,12.7,True
STF00379,Medical Officer,DEP0045,HOSP03,General,Rotating,Intern,8.3,True
STF00380,Senior Nurse,DEP0099,HOSP05,-,Evening,Permanent,5.3,True
STF00381,Consultant,DEP0089,HOSP05,General,Rotating,Permanent,0.9,True
STF00382,Staff Nurse,DEP0048,HOSP03,-,Rotating,Contract,9.3,True
STF00383,Resident Doctor,DEP0096,HOSP05,Pediatrician,Evening,Permanent,13.1,False
STF00384,Staff Nurse,DEP0026,HOSP02,-,Rotating,Contract,0.8,True
STF00385,Staff Nurse,DEP0045,HOSP03,-,Night,Permanent,3.2,True
STF00386,Staff Nurse,DEP0024,HOSP02,-,Rotating,Permanent,2.7,False
STF00387,Staff Nurse,DEP0070,HOSP04,-,Rotating,Permanent,6.0,True
STF00388,Consultant,DEP0007,HOSP01,Obstetrician,Evening,Contract,10.9,True
STF00389,Staff Nurse,DEP0026,HOSP02,-,Rotating,Permanent,12.0,True
STF00390,Staff Nurse,DEP0073,HOSP04,-,Night,Permanent,10.3,True
STF00391,Medical Officer,DEP0099,HOSP05,Nephrologist,Morning,Permanent,7.1,True
STF00392,Lab Technician,DEP0070,HOSP04,-,Rotating,Permanent,4.7,True
STF00393,Support Staff,DEP0067,HOSP04,-,Night,Contract,18.8,True
STF00394,Resident Doctor,DEP0049,HOSP03,Surgeon,Evening,Permanent,5.0,True
STF00395,Medical Officer,DEP0029,HOSP02,Obstetrician,Night,Contract,13.0,True
STF00396,Staff Nurse,DEP0031,HOSP02,-,Rotating,Permanent,10.8,True
STF00397,Senior Nurse,DEP0026,HOSP02,-,Rotating,Contract,9.7,True
STF00398,Staff Nurse,DEP0001,HOSP01,-,Morning,Permanent,7.1,True
STF00399,Staff Nurse,DEP0015,HOSP01,-,Evening,Permanent,9.2,True
STF00400,Medical Officer,DEP0093,HOSP05,Surgeon,Night,Contract,5.2,True
STF00401,Medical Officer,DEP0093,HOSP05,Surgeon,Evening,Intern,4.0,False
STF00402,Staff Nurse,DEP0070,HOSP04,-,Rotating,Contract,4.4,True
STF00403,Medical Officer,DEP0051,HOSP03,Obstetrician,Evening,Contract,5.4,True
STF00404,Resident Doctor,DEP0092,HOSP05,General,Evening,Permanent,11.3,True
STF00405,Consultant,DEP0067,HOSP04,General,Morning,Permanent,2.5,True
STF00406,Staff Nurse,DEP0055,HOSP03,-,Morning,Permanent,15.6,True
STF00407,Medical Officer,DEP0061,HOSP03,General,Morning,Intern,1.0,True
STF00408,Staff Nurse,DEP0054,HOSP03,-,Morning,Contract,9.2,True
STF00409,Support Staff,DEP0048,HOSP03,-,Evening,Permanent,5.7,True
STF00410,Consultant,DEP0033,HOSP02,Nephrologist,Morning,Permanent,6.0,True
STF00411,Radiology Technician,DEP0073,HOSP04,-,Rotating,Permanent,19.7,True
STF00412,Lab Technician,DEP0029,HOSP02,-,Night,Permanent,5.4,True
STF00413,Radiology Technician,DEP0070,HOSP04,-,Morning,Permanent,30.5,True
STF00414,Support Staff,DEP0052,HOSP03,-,Rotating,Contract,18.1,True
STF00415,Medical Officer,DEP0067,HOSP04,General,Evening,Intern,1.6,True
STF00416,Staff Nurse,DEP0059,HOSP03,-,Night,Permanent,3.9,True
STF00417,Senior Nurse,DEP0048,HOSP03,-,Rotating,Contract,8.9,True
STF00418,Resident Doctor,DEP0092,HOSP05,General,Evening,Visiting,4.1,True
STF00419,Staff Nurse,DEP0097,HOSP05,-,Rotating,Permanent,0.5,True
STF00420,Staff Nurse,DEP0012,HOSP01,-,Rotating,Permanent,9.5,True
STF00421,Consultant,DEP0048,HOSP03,General,Night,Permanent,8.0,True
STF00422,Staff Nurse,DEP0074,HOSP04,-,Morning,Permanent,13.7,False
STF00423,Consultant,DEP0071,HOSP04,Surgeon,Rotating,Intern,3.3,True
STF00424,Staff Nurse,DEP0092,HOSP05,-,Evening,Contract,14.0,False
STF00425,Support Staff,DEP0004,HOSP01,-,Morning,Visiting,25.1,False
STF00426,Medical Officer,DEP0048,HOSP03,General,Rotating,Permanent,7.1,False
STF00427,Staff Nurse,DEP0077,HOSP04,-,Rotating,Contract,9.3,True
STF00428,Consultant,DEP0031,HOSP02,Cardiologist,Rotating,Permanent,5.7,True
STF00429,Staff Nurse,DEP0029,HOSP02,-,Evening,Contract,7.9,True
STF00430,Resident Doctor,DEP0045,HOSP03,General,Night,Visiting,15.5,True
STF00431,Staff Nurse,DEP0007,HOSP01,-,Morning,Contract,18.3,False
STF00432,Pharmacist,DEP0072,HOSP04,-,Morning,Permanent,1.3,True
STF00433,Resident Doctor,DEP0075,HOSP04,Cardiologist,Rotating,Permanent,8.2,True
STF00434,Support Staff,DEP0104,HOSP05,-,Night,Visiting,2.8,True
STF00435,Staff Nurse,DEP0029,HOSP02,-,Rotating,Intern,3.5,True
STF00436,Staff Nurse,DEP0026,HOSP02,-,Morning,Contract,5.1,True
STF00437,Staff Nurse,DEP0045,HOSP03,-,Rotating,Intern,1.4,True
STF00438,Staff Nurse,DEP0059,HOSP03,-,Evening,Permanent,1.6,True
STF00439,Medical Officer,DEP0001,HOSP01,General,Rotating,Contract,5.6,True
STF00440,Support Staff,DEP0095,HOSP05,-,Morning,Permanent,11.8,True
STF00441,Medical Officer,DEP0083,HOSP04,General,Morning,Intern,13.2,False
STF00442,Senior Nurse,DEP0035,HOSP02,-,Morning,Intern,2.0,True
STF00443,Staff Nurse,DEP0071,HOSP04,-,Rotating,Contract,10.2,True
STF00444,Medical Officer,DEP0029,HOSP02,Obstetrician,Evening,Permanent,3.9,True
STF00445,Radiology Technician,DEP0089,HOSP05,-,Morning,Permanent,3.8,True
STF00446,Medical Officer,DEP0073,HOSP04,Obstetrician,Rotating,Permanent,3.9,True
STF00447,Lab Technician,DEP0030,HOSP02,-,Morning,Permanent,2.9,True
STF00448,Senior Nurse,DEP0087,HOSP04,-,Rotating,Contract,6.8,True
STF00449,Resident Doctor,DEP0095,HOSP05,Obstetrician,Evening,Permanent,6.4,True
STF00450,Staff Nurse,DEP0001,HOSP01,-,Morning,Contract,4.2,True
STF00451,Staff Nurse,DEP0045,HOSP03,-,Evening,Permanent,2.2,True
STF00452,Pharmacist,DEP0004,HOSP01,-,Evening,Permanent,8.8,True
STF00453,Staff Nurse,DEP0001,HOSP01,-,Night,Contract,3.8,True
STF00454,Staff Nurse,DEP0009,HOSP01,-,Evening,Intern,21.6,True
STF00455,Medical Officer,DEP0027,HOSP02,Surgeon,Night,Visiting,6.2,False
STF00456,Staff Nurse,DEP0072,HOSP04,-,Evening,Visiting,10.1,True
STF00457,Medical Officer,DEP0049,HOSP03,Surgeon,Morning,Contract,12.0,True
STF00458,Staff Nurse,DEP0109,HOSP05,-,Night,Permanent,3.4,True
STF00459,Lab Technician,DEP0089,HOSP05,-,Evening,Contract,2.6,False
STF00460,Medical Officer,DEP0032,HOSP02,Neurologist,Night,Permanent,4.3,True
STF00461,Medical Officer,DEP0023,HOSP02,General,Rotating,Permanent,11.2,True
STF00462,Consultant,DEP0033,HOSP02,Nephrologist,Evening,Visiting,11.8,True
STF00463,Consultant,DEP0001,HOSP01,General,Rotating,Permanent,11.3,True
STF00464,Staff Nurse,DEP0046,HOSP03,-,Evening,Permanent,7.0,True
STF00465,Medical Officer,DEP0096,HOSP05,Pediatrician,Evening,Permanent,12.4,True
STF00466,Staff Nurse,DEP0027,HOSP02,-,Rotating,Permanent,7.7,False
STF00467,Resident Doctor,DEP0074,HOSP04,Pediatrician,Night,Permanent,6.1,True
STF00468,Medical Officer,DEP0045,HOSP03,General,Rotating,Permanent,11.2,True
STF00469,Consultant,DEP0072,HOSP04,Orthopedic Surgeon,Morning,Permanent,25.8,True
STF00470,Resident Doctor,DEP0070,HOSP04,General,Morning,Permanent,20.1,True
STF00471,Support Staff,DEP0092,HOSP05,-,Rotating,Permanent,0.8,True
STF00472,Radiology Technician,DEP0092,HOSP05,-,Evening,Permanent,1.0,True
STF00473,Support Staff,DEP0071,HOSP04,-,Rotating,Permanent,11.4,True
STF00474,Radiology Technician,DEP0091,HOSP05,-,Rotating,Permanent,2.0,True
STF00475,Radiology Technician,DEP0027,HOSP02,-,Morning,Permanent,18.0,False
STF00476,Support Staff,DEP0027,HOSP02,-,Rotating,Contract,2.2,True
STF00477,Pharmacist,DEP0004,HOSP01,-,Night,Contract,8.2,True
STF00478,Staff Nurse,DEP0010,HOSP01,-,Morning,Contract,3.8,True
STF00479,Pharmacist,DEP0004,HOSP01,-,Evening,Contract,11.2,True
STF00480,Staff Nurse,DEP0005,HOSP01,-,Evening,Visiting,15.6,True
STF00481,Staff Nurse,DEP0064,HOSP03,-,Rotating,Permanent,2.4,True
STF00482,Staff Nurse,DEP0085,HOSP04,-,Evening,Contract,7.1,True
STF00483,Consultant,DEP0091,HOSP05,General,Evening,Permanent,21.1,True
STF00484,Medical Officer,DEP0046,HOSP03,Intensivist,Morning,Contract,3.0,False
STF00485,Medical Officer,DEP0093,HOSP05,Surgeon,Night,Permanent,2.7,True
STF00486,Consultant,DEP0029,HOSP02,Obstetrician,Rotating,Permanent,21.7,True
STF00487,Consultant,DEP0067,HOSP04,General,Evening,Permanent,13.0,True
STF00488,Staff Nurse,DEP0004,HOSP01,-,Morning,Permanent,6.4,True
STF00489,Staff Nurse,DEP0007,HOSP01,-,Rotating,Permanent,5.7,False
STF00490,Medical Officer,DEP0079,HOSP04,General,Rotating,Permanent,7.6,True
STF00491,Consultant,DEP0091,HOSP05,General,Evening,Permanent,13.3,False
STF00492,Lab Technician,DEP0001,HOSP01,-,Night,Permanent,9.3,True
STF00493,Resident Doctor,DEP0053,HOSP03,Cardiologist,Night,Intern,5.5,True
STF00494,Staff Nurse,DEP0089,HOSP05,-,Evening,Permanent,5.6,True
STF00495,Senior Nurse,DEP0096,HOSP05,-,Night,Permanent,9.8,True
STF00496,Lab Technician,DEP0083,HOSP04,-,Rotating,Permanent,8.8,True
STF00497,Staff Nurse,DEP0023,HOSP02,-,Morning,Contract,32.4,True
STF00498,Staff Nurse,DEP0098,HOSP05,-,Morning,Permanent,7.4,True
STF00499,Staff Nurse,DEP0023,HOSP02,-,Night,Permanent,13.3,True
STF00500,Resident Doctor,DEP0053,HOSP03,Cardiologist,Night,Visiting,0.9,True
STF00501,Resident Doctor,DEP0093,HOSP05,Surgeon,Evening,Permanent,5.9,True
STF00502,Lab Technician,DEP0049,HOSP03,-,Rotating,Contract,7.3,False
STF00503,Medical Officer,DEP0027,HOSP02,Surgeon,Rotating,Permanent,4.0,False
STF00504,Lab Technician,DEP0096,HOSP05,-,Evening,Permanent,4.7,True
STF00505,Consultant,DEP0034,HOSP02,Oncologist,Morning,Permanent,18.9,True
STF00506,Pharmacist,DEP0045,HOSP03,-,Evening,Permanent,9.7,True
STF00507,Consultant,DEP0051,HOSP03,Obstetrician,Rotating,Permanent,7.0,True
STF00508,Pharmacist,DEP0031,HOSP02,-,Evening,Permanent,1.6,True
STF00509,Consultant,DEP0092,HOSP05,General,Night,Contract,7.9,True
STF00510,Resident Doctor,DEP0048,HOSP03,General,Evening,Intern,7.4,True
STF00511,Staff Nurse,DEP0067,HOSP04,-,Morning,Visiting,2.9,True
STF00512,Support Staff,DEP0049,HOSP03,-,Rotating,Contract,6.8,True
STF00513,Pharmacist,DEP0001,HOSP01,-,Morning,Intern,5.4,False
STF00514,Radiology Technician,DEP0051,HOSP03,-,Morning,Contract,7.3,True
STF00515,Support Staff,DEP0034,HOSP02,-,Rotating,Permanent,14.0,False
STF00516,Senior Nurse,DEP0074,HOSP04,-,Evening,Contract,14.0,True
STF00517,Staff Nurse,DEP0074,HOSP04,-,Morning,Permanent,0.5,True
STF00518,Medical Officer,DEP0006,HOSP01,Orthopedic Surgeon,Evening,Permanent,7.3,True
STF00519,Support Staff,DEP0002,HOSP01,-,Rotating,Contract,1.6,True
STF00520,Staff Nurse,DEP0096,HOSP05,-,Rotating,Permanent,8.1,True
STF00521,Senior Nurse,DEP0067,HOSP04,-,Evening,Permanent,14.8,True
STF00522,Medical Officer,DEP0089,HOSP05,General,Evening,Permanent,8.8,True
STF00523,Pharmacist,DEP0073,HOSP04,-,Morning,Intern,3.5,True
STF00524,Resident Doctor,DEP0071,HOSP04,Surgeon,Night,Permanent,10.8,True
STF00525,Staff Nurse,DEP0026,HOSP02,-,Morning,Permanent,12.8,True
STF00526,Medical Officer,DEP0073,HOSP04,Obstetrician,Morning,Intern,1.1,True
STF00527,Pharmacist,DEP0076,HOSP04,-,Rotating,Contract,2.1,True
STF00528,Medical Officer,DEP0030,HOSP02,Pediatrician,Night,Permanent,13.6,True
STF00529,Radiology Technician,DEP0001,HOSP01,-,Morning,Contract,4.1,True
STF00530,Staff Nurse,DEP0074,HOSP04,-,Rotating,Intern,1.4,False
STF00531,Resident Doctor,DEP0078,HOSP04,Oncologist,Morning,Permanent,9.0,True
STF00532,Support Staff,DEP0089,HOSP05,-,Evening,Permanent,5.5,True
STF00533,Staff Nurse,DEP0067,HOSP04,-,Morning,Permanent,13.5,True
STF00534,Support Staff,DEP0071,HOSP04,-,Rotating,Permanent,19.3,True
STF00535,Staff Nurse,DEP0010,HOSP01,-,Morning,Permanent,12.0,True
STF00536,Staff Nurse,DEP0050,HOSP03,-,Rotating,Permanent,24.0,True
STF00537,Support Staff,DEP0024,HOSP02,-,Evening,Permanent,6.7,True
STF00538,Resident Doctor,DEP0024,HOSP02,Intensivist,Rotating,Permanent,3.2,True
STF00539,Consultant,DEP0071,HOSP04,Surgeon,Morning,Permanent,18.4,True
STF00540,Staff Nurse,DEP0045,HOSP03,-,Rotating,Permanent,15.4,True
STF00541,Resident Doctor,DEP0077,HOSP04,Nephrologist,Rotating,Permanent,4.6,True
STF00542,Medical Officer,DEP0007,HOSP01,Obstetrician,Morning,Contract,13.2,True
STF00543,Lab Technician,DEP0090,HOSP05,-,Night,Permanent,9.0,True
STF00544,Staff Nurse,DEP0049,HOSP03,-,Night,Contract,17.2,False
STF00545,Consultant,DEP0068,HOSP04,Intensivist,Rotating,Permanent,3.1,True
STF00546,Radiology Technician,DEP0001,HOSP01,-,Morning,Intern,12.7,True
STF00547,Staff Nurse,DEP0001,HOSP01,-,Evening,Permanent,5.0,True
STF00548,Staff Nurse,DEP0050,HOSP03,-,Morning,Contract,8.0,True
STF00549,Staff Nurse,DEP0071,HOSP04,-,Rotating,Contract,1.2,True
STF00550,Medical Officer,DEP0096,HOSP05,Pediatrician,Rotating,Contract,3.5,True
STF00551,Medical Officer,DEP0049,HOSP03,Surgeon,Evening,Contract,10.0,True
STF00552,Consultant,DEP0092,HOSP05,General,Night,Contract,7.6,True
STF00553,Staff Nurse,DEP0097,HOSP05,-,Rotating,Intern,2.5,False
STF00554,Medical Officer,DEP0045,HOSP03,General,Morning,Permanent,14.4,True
STF00555,Medical Officer,DEP0028,HOSP02,Orthopedic Surgeon,Evening,Permanent,5.4,True
STF00556,Support Staff,DEP0036,HOSP02,-,Rotating,Contract,15.7,False
STF00557,Consultant,DEP0045,HOSP03,General,Rotating,Permanent,15.4,True
STF00558,Staff Nurse,DEP0087,HOSP04,-,Rotating,Permanent,12.1,True
STF00559,Staff Nurse,DEP0071,HOSP04,-,Evening,Permanent,1.9,True
STF00560,Lab Technician,DEP0090,HOSP05,-,Rotating,Permanent,0.8,True
STF00561,Staff Nurse,DEP0102,HOSP05,-,Rotating,Permanent,15.3,True
STF00562,Lab Technician,DEP0001,HOSP01,-,Rotating,Contract,8.7,False
STF00563,Staff Nurse,DEP0023,HOSP02,-,Morning,Permanent,5.2,False
STF00564,Staff Nurse,DEP0005,HOSP01,-,Morning,Permanent,3.6,True
STF00565,Support Staff,DEP0064,HOSP03,-,Evening,Permanent,3.7,True
STF00566,Support Staff,DEP0001,HOSP01,-,Night,Contract,7.9,True
STF00567,Staff Nurse,DEP0023,HOSP02,-,Rotating,Permanent,6.4,True
STF00568,Staff Nurse,DEP0037,HOSP02,-,Morning,Permanent,3.7,True
STF00569,Consultant,DEP0005,HOSP01,Surgeon,Morning,Visiting,2.5,True
STF00570,Resident Doctor,DEP0030,HOSP02,Pediatrician,Evening,Visiting,5.6,False
STF00571,Radiology Technician,DEP0072,HOSP04,-,Morning,Contract,9.6,True
STF00572,Resident Doctor,DEP0048,HOSP03,General,Night,Contract,3.2,True
STF00573,Staff Nurse,DEP0048,HOSP03,-,Evening,Contract,8.0,True
STF00574,Consultant,DEP0006,HOSP01,Orthopedic Surgeon,Rotating,Permanent,12.6,False
STF00575,Support Staff,DEP0055,HOSP03,-,Rotating,Permanent,31.0,True
STF00576,Lab Technician,DEP0067,HOSP04,-,Morning,Permanent,3.1,True
STF00577,Staff Nurse,DEP0031,HOSP02,-,Morning,Visiting,6.9,True
STF00578,Resident Doctor,DEP0077,HOSP04,Nephrologist,Evening,Intern,10.1,True
STF00579,Staff Nurse,DEP0055,HOSP03,-,Morning,Contract,1.9,True
STF00580,Medical Officer,DEP0101,HOSP05,General,Morning,Contract,2.1,True
STF00581,Staff Nurse,DEP0089,HOSP05,-,Morning,Permanent,9.2,True
STF00582,Staff Nurse,DEP0005,HOSP01,-,Evening,Permanent,9.0,False
STF00583,Medical Officer,DEP0067,HOSP04,General,Night,Permanent,11.4,True
STF00584,Staff Nurse,DEP0015,HOSP01,-,Morning,Permanent,1.9,False
STF00585,Medical Officer,DEP0048,HOSP03,General,Morning,Permanent,9.0,True
STF00586,Consultant,DEP0043,HOSP02,General,Rotating,Permanent,4.1,False
STF00587,Staff Nurse,DEP0070,HOSP04,-,Rotating,Permanent,10.8,False
STF00588,Consultant,DEP0071,HOSP04,Surgeon,Rotating,Contract,8.1,True
STF00589,Resident Doctor,DEP0079,HOSP04,General,Evening,Contract,8.5,True
STF00590,Medical Officer,DEP0003,HOSP01,General,Morning,Permanent,14.5,True
STF00591,Senior Nurse,DEP0008,HOSP01,-,Morning,Contract,17.1,True
STF00592,Support Staff,DEP0092,HOSP05,-,Rotating,Permanent,19.8,True
STF00593,Radiology Technician,DEP0047,HOSP03,-,Rotating,Contract,4.3,True
STF00594,Medical Officer,DEP0026,HOSP02,General,Rotating,Permanent,12.4,True
STF00595,Medical Officer,DEP0067,HOSP04,General,Night,Permanent,21.1,True
STF00596,Medical Officer,DEP0007,HOSP01,Obstetrician,Night,Contract,25.0,True
STF00597,Pharmacist,DEP0080,HOSP04,-,Evening,Intern,2.2,True
STF00598,Staff Nurse,DEP0046,HOSP03,-,Morning,Contract,7.7,True
STF00599,Senior Nurse,DEP0031,HOSP02,-,Evening,Permanent,3.1,True
STF00600,Medical Officer,DEP0110,HOSP05,General,Rotating,Permanent,3.0,True
STF00601,Lab Technician,DEP0014,HOSP01,-,Morning,Contract,9.9,True
STF00602,Medical Officer,DEP0095,HOSP05,Obstetrician,Evening,Permanent,6.7,True
STF00603,Staff Nurse,DEP0073,HOSP04,-,Night,Permanent,6.1,True
STF00604,Staff Nurse,DEP0098,HOSP05,-,Evening,Visiting,19.9,True
STF00605,Support Staff,DEP0079,HOSP04,-,Evening,Permanent,5.9,True
STF00606,Staff Nurse,DEP0002,HOSP01,-,Morning,Permanent,2.5,True
STF00607,Medical Officer,DEP0092,HOSP05,General,Rotating,Permanent,23.8,True
STF00608,Medical Officer,DEP0095,HOSP05,Obstetrician,Rotating,Permanent,1.6,True
STF00609,Resident Doctor,DEP0027,HOSP02,Surgeon,Morning,Intern,19.9,True
STF00610,Support Staff,DEP0046,HOSP03,-,Night,Intern,5.7,True
STF00611,Support Staff,DEP0074,HOSP04,-,Morning,Contract,12.6,True
STF00612,Pharmacist,DEP0027,HOSP02,-,Night,Contract,3.8,True
STF00613,Staff Nurse,DEP0070,HOSP04,-,Rotating,Permanent,7.0,True
STF00614,Consultant,DEP0003,HOSP01,General,Night,Permanent,6.9,True
STF00615,Staff Nurse,DEP0003,HOSP01,-,Rotating,Permanent,21.6,True
STF00616,Lab Technician,DEP0022,HOSP01,-,Rotating,Contract,13.6,True
STF00617,Staff Nurse,DEP0102,HOSP05,-,Rotating,Permanent,2.1,True
STF00618,Staff Nurse,DEP0045,HOSP03,-,Night,Permanent,15.9,True
STF00619,Consultant,DEP0052,HOSP03,Pediatrician,Evening,Permanent,9.1,True
STF00620,Senior Nurse,DEP0080,HOSP04,-,Rotating,Contract,9.9,True
STF00621,Support Staff,DEP0094,HOSP05,-,Rotating,Contract,13.2,False
STF00622,Consultant,DEP0025,HOSP02,General,Night,Permanent,10.9,True
STF00623,Senior Nurse,DEP0075,HOSP04,-,Night,Intern,13.1,True
STF00624,Consultant,DEP0102,HOSP05,General,Evening,Contract,11.9,True
STF00625,Radiology Technician,DEP0063,HOSP03,-,Morning,Permanent,2.0,True
STF00626,Radiology Technician,DEP0104,HOSP05,-,Morning,Contract,9.1,True
STF00627,Support Staff,DEP0049,HOSP03,-,Night,Visiting,4.0,True
STF00628,Support Staff,DEP0007,HOSP01,-,Evening,Intern,8.4,True
STF00629,Staff Nurse,DEP0067,HOSP04,-,Morning,Contract,2.3,True
STF00630,Resident Doctor,DEP0004,HOSP01,General,Morning,Permanent,5.9,True
STF00631,Resident Doctor,DEP0027,HOSP02,Surgeon,Night,Contract,11.3,True
STF00632,Support Staff,DEP0030,HOSP02,-,Morning,Intern,10.9,True
STF00633,Staff Nurse,DEP0059,HOSP03,-,Morning,Contract,9.3,True
STF00634,Senior Nurse,DEP0072,HOSP04,-,Morning,Contract,3.3,False
STF00635,Staff Nurse,DEP0101,HOSP05,-,Evening,Contract,11.2,True
STF00636,Staff Nurse,DEP0007,HOSP01,-,Morning,Permanent,8.6,True
STF00637,Consultant,DEP0086,HOSP04,General,Night,Intern,4.3,True
STF00638,Pharmacist,DEP0081,HOSP04,-,Morning,Contract,11.6,True
STF00639,Support Staff,DEP0051,HOSP03,-,Morning,Permanent,10.8,True
STF00640,Support Staff,DEP0095,HOSP05,-,Evening,Contract,17.4,True
STF00641,Medical Officer,DEP0005,HOSP01,Surgeon,Rotating,Permanent,19.8,True
STF00642,Staff Nurse,DEP0097,HOSP05,-,Morning,Permanent,9.2,True
STF00643,Medical Officer,DEP0009,HOSP01,Cardiologist,Morning,Contract,5.0,False
STF00644,Staff Nurse,DEP0075,HOSP04,-,Evening,Permanent,4.2,True
STF00645,Senior Nurse,DEP0102,HOSP05,-,Evening,Intern,1.7,True
STF00646,Consultant,DEP0098,HOSP05,Neurologist,Morning,Permanent,8.2,False
STF00647,Staff Nurse,DEP0109,HOSP05,-,Evening,Permanent,18.6,True
STF00648,Resident Doctor,DEP0004,HOSP01,General,Rotating,Contract,6.8,True
STF00649,Radiology Technician,DEP0095,HOSP05,-,Rotating,Visiting,12.2,True
STF00650,Staff Nurse,DEP0093,HOSP05,-,Evening,Contract,7.7,True
STF00651,Staff Nurse,DEP0105,HOSP05,-,Rotating,Permanent,4.6,True
STF00652,Medical Officer,DEP0085,HOSP04,General,Rotating,Permanent,6.4,True
STF00653,Staff Nurse,DEP0070,HOSP04,-,Evening,Intern,4.0,True
STF00654,Senior Nurse,DEP0031,HOSP02,-,Morning,Permanent,9.1,True
STF00655,Radiology Technician,DEP0004,HOSP01,-,Morning,Intern,8.8,True
STF00656,Medical Officer,DEP0008,HOSP01,Pediatrician,Rotating,Permanent,8.0,True
STF00657,Consultant,DEP0089,HOSP05,General,Morning,Permanent,14.5,True
STF00658,Consultant,DEP0085,HOSP04,General,Night,Permanent,6.0,True
STF00659,Staff Nurse,DEP0001,HOSP01,-,Morning,Contract,6.2,True
STF00660,Medical Officer,DEP0072,HOSP04,Orthopedic Surgeon,Rotating,Contract,9.2,True
STF00661,Staff Nurse,DEP0089,HOSP05,-,Morning,Visiting,5.4,True
STF00662,Staff Nurse,DEP0079,HOSP04,-,Rotating,Permanent,5.6,True
STF00663,Consultant,DEP0083,HOSP04,General,Rotating,Visiting,7.1,True
STF00664,Support Staff,DEP0004,HOSP01,-,Morning,Intern,13.5,False
STF00665,Staff Nurse,DEP0097,HOSP05,-,Evening,Contract,10.8,True
STF00666,Support Staff,DEP0048,HOSP03,-,Rotating,Permanent,16.2,True
STF00667,Medical Officer,DEP0001,HOSP01,General,Evening,Permanent,9.8,True
